code,rows,first,last,missing_hfq,missing_market_cap
000001,1384,2021-01-04,2026-09-16,0,0
600036,1384,2021-01-04,2026-09-16,0,0
600519,1384,2021-01-04,2026-09-16,0,0
000858,1384,2021-01-04,2026-09-16,0,0
000333,1384,2021-01-04,2026-09-16,0,0
002415,1384,2021-01-04,2026-09-16,0,0
600276,1384,2021-01-04,2026-09-16,0,0
600011,1384,2021-01-04 00:00:00,2026-09-16 00:00:00,0,0
601888,1384,2021-01-04,2026-09-16,0,0
600104,1384,2021-01-04,2026-09-16,0,0
